Date,LLOY.L,BARC.L,VOD.L,RIO.L,NG.L,BATS.L,GSK.L,Relx,BP.L,SGE.L,SMIN.L,ASC.L,DOM.L,LAND.L,TSCO.L
01/03/2011,-0.062459733,-0.1254563,0.012622176,0.016127224,0.040280314,0.016246859,0.023414794,-0.017288643,-0.073982789,-0.004302141,-0.029917833,-0.092454835,-0.06766588,-0.043052693,-0.057397263
01/04/2011,0.019968963,0.017114068,-0.027761931,0.004820033,0.033669711,0.078407714,0.097520224,-0.01851832,0.018832603,0.024811243,0.035820192,0.348946136,0.081560725,0.08069611,0.059186507
01/05/2011,-0.122362799,-0.020013919,-0.015443267,-0.026375884,0.019544298,0.042512596,0.01110653,0.069468326,0.012539334,0.018245825,-0.072072028,0.02734375,-0.139584778,0.059872632,0.06482674
01/06/2011,-0.057692388,-0.069766385,-0.021603823,0.05783238,-0.021565494,0.0033066,0.023044737,0.027223142,-0.011418918,0.004615786,-0.028317258,0.013941698,0.013811813,0.024639769,-0.04068723
01/07/2011,-0.115306173,-0.13043447,0.110453333,-0.042422758,0.012660316,0.03277147,0.022488419,-0.021201333,0.005123909,-0.050190139,-0.054954229,-0.054166667,0.243497961,0.011459842,-0.046144209
01/08/2011,-0.225028664,-0.23430523,-0.063953369,-0.115813941,0.040201368,-0.027299865,-0.039222849,-0.09205786,-0.127006793,-0.081268329,-0.122026375,-0.129955947,0.003984124,-0.138596454,-0.012648174
01/09/2011,0.037803164,-0.049751617,0.032608185,-0.233105002,0.028180503,0.00833196,0.029287135,-0.006496181,-0.025252106,0.017056752,0.00301046,-0.228860759,-0.106202044,-0.128309656,-0.001584894
01/10/2011,-0.067976552,0.210412353,0.039699723,0.171888523,-0.032889674,0.049843942,0.050262536,0.081108342,0.186615076,0.084633289,-0.042521334,0.021667761,0.026936269,0.076994703,0.062830501
01/11/2011,-0.236036274,-0.077060742,-0.003760416,-0.013589771,0.01133576,0.028102669,0.002500156,-0.012161025,-0.000542292,0.043150201,0.015701766,-0.12596401,-0.019891366,0.004385531,0.020193138
01/12/2011,0.043504475,-0.017905614,0.081007706,-0.064090724,0.023032931,0.037521464,0.061541437,-0.017045525,0.00961973,0.014133018,-0.033790976,-0.091176471,-0.102363978,-0.06489992,-0.004318823
01/01/2012,0.182011163,0.207328161,-0.045276724,0.217600034,0.011199847,-0.045328013,-0.041794236,0.011560871,0.022475529,-0.003739063,0.049180087,0.391585761,0.136894751,0.061369077,-0.207832398
01/02/2012,0.140921191,0.152669771,-0.008489385,-0.058081509,0.015031907,0.089132593,-0.016312211,0.048571456,0.045768315,0.059706747,0.133333513,0.06744186,-0.029938981,0.0007416,-0.010951223
01/03/2012,-0.038070847,-0.02802639,0.016829355,-0.02349767,-0.017147432,-0.00834114,0.010357657,0.008174238,-0.050845991,-0.013751363,-0.033088229,-0.029411765,-0.013626905,0.070370204,0.043973383
01/04/2012,-0.077220625,-0.072262955,-0.009872351,-0.003917676,0.055511452,0.031262337,0.02040834,-0.081081129,-0.037942022,-0.043783568,0.028710396,-0.170594837,0.018304679,0.01681404,-0.038333031
01/05/2012,-0.181554282,-0.192210633,0.014662817,-0.190094616,-0.023290719,-0.031813737,0.009122952,-0.033530439,-0.112583984,-0.103460068,-0.06542065,0.181326116,0.094424924,-0.025429807,-0.016008658
